dateTime,day T,night T,precipitation,pressure,huminity,wind,energy
2020-07-24,25,14,2,751,57,6,87.47718750000001
2020-07-25,26,13,2,752,56,3,56.25
2020-07-26,25,16,2,750,57,7,120.75145833333333
2020-07-27,24,13,2,755,52,4,68.67989583333333
2020-07-28,22,18,2,751,63,7,200.39124999999999
2020-07-29,20,12,1,757,56,7,162.74020833333336
2020-07-30,21,9,1,759,47,4,34.74770833333333
2020-07-31,26,12,1,757,50,1,30.5540625
2019-08-09,26,13,2,752,48,3,9.292083333333332
2019-08-10,23,18,2,752,59,7,212.4625
2019-08-11,25,14,1,755,46,5,47.89916666666667
2019-08-12,25,13,2,754,49,4,528.2166666666667
2019-08-23,27,14,0,762,38,2,27.66416666666667
2019-08-24,27,15,0,759,50,5,68.4096875
2019-08-25,30,17,4,757,52,4,36.4753125
2019-08-26,31,19,1,757,47,3,35.44552083333333
2019-08-27,32,19,1,756,42,3,34.86208333333334
2019-08-28,33,19,2,753,44,3,35.34979166666667
2019-08-29,28,17,2,756,59,5,42.136562500000004
2019-08-30,28,16,2,759,56,0,11.785937499999998
2019-08-31,31,18,1,754,43,3,64.08635416666667
2020-08-01,29,15,4,753,50,3,227.5567708333333
2020-08-02,23,17,2,752,67,4,162.661875
2020-08-03,23,11,2,752,51,3,259.37
2020-08-04,22,11,1,754,48,3,54.55479166666667
2020-08-05,25,12,1,756,41,3,18.214895833333333
2020-08-06,27,15,0,759,42,3,16.761875
2020-08-07,29,16,1,759,55,4,26.863958333333333
2020-08-08,32,19,4,758,43,1,19.279999999999998
2020-08-09,31,20,1,757,46,3,116.53979166666669
2020-08-13,32,18,4,753,43,4,62.71729166666666
2020-08-14,27,19,4,752,59,3,22.26697916666667
2020-08-15,26,19,4,753,65,1,12.351041666666665
2020-08-16,28,18,0,753,47,5,40.19916666666666
2020-08-17,28,17,4,749,52,3,26.23635416666666
2020-08-18,24,16,4,750,61,4,27.2246875
2020-08-19,25,15,1,750,50,2,20.350104166666664
2020-08-20,27,18,4,751,67,4,55.28541666666666
2020-08-21,31,20,2,751,48,4,97.10333333333331
2020-08-22,25,19,2,753,48,7,153.9021875
2020-08-23,22,15,2,753,53,8,188.78
2020-08-24,21,13,2,752,66,6,91.85583333333334
2020-08-25,22,11,2,751,54,5,117.36604166666666
2020-08-26,17,15,2,746,67,12,503.8625
2020-08-27,19,14,2,753,60,6,104.54270833333332
2020-08-28,21,13,2,744,61,6,90.17197916666667
2020-08-29,22,12,1,746,51,5,66.83802083333332
2020-08-30,22,12,2,750,53,2,40.096250000000005
2020-08-31,18,12,2,756,80,3,30.623958333333334
