Month,Device,Place,BannerType,QueryType,TargetingType,Shows,Clicks,Cost,Conversions
6/1/2021,Mobile,Search,text,Brand,Phrase,23108,5763,657091,366
6/1/2021,Mobile,Search,text,Competitor,Phrase,73693,1622,184885,39
6/1/2021,Mobile,Search,text,Other,Phrase,197139,5867,707617,241
6/1/2021,Desktop,Networks,cpm_banner,none,Retargeting,0,0,0,0
6/1/2021,Desktop,Networks,cpm_banner,none,Retargeting,0,0,0,0
6/1/2021,Desktop,Networks,cpm_banner,none,Retargeting,0,0,0,0
7/1/2021,Desktop,Networks,cpc_video,none,Retargeting,22580,91,6381,0
7/1/2021,Mobile,Networks,cpc_video,none,Retargeting,556,9,278,0
7/1/2021,Desktop,Networks,image_ad,none,Phrase,5029437,2655,90042,22
7/1/2021,Desktop,Networks,image_ad,none,Retargeting,5830580,11051,764918,35
7/1/2021,Mobile,Networks,image_ad,none,Phrase,394942,4945,52214,2
7/1/2021,Mobile,Networks,image_ad,none,Retargeting,3263061,51059,1633437,65
7/1/2021,Desktop,Networks,image_ad,none,Phrase,5366,3,72,0
7/1/2021,Desktop,Networks,image_ad,none,Retargeting,819,0,0,0
7/1/2021,Mobile,Networks,image_ad,none,Phrase,788,24,93,0
7/1/2021,Mobile,Networks,image_ad,none,Retargeting,50,2,23,0
7/1/2021,Desktop,Networks,image_ad,none,Phrase,136127,130,3905,1
7/1/2021,Desktop,Networks,image_ad,none,Retargeting,537,0,0,0
7/1/2021,Mobile,Networks,image_ad,none,Phrase,3555,51,351,0
7/1/2021,Mobile,Networks,image_ad,none,Retargeting,23,0,0,0
7/1/2021,Desktop,Networks,image_ad,none,Phrase,8081551,13018,246260,28
7/1/2021,Desktop,Networks,image_ad,none,Retargeting,909047,712,48709,8
7/1/2021,Mobile,Networks,image_ad,none,Phrase,7709466,108208,601239,16
7/1/2021,Mobile,Networks,image_ad,none,Retargeting,76395,1104,13926,3
7/1/2021,Desktop,Search,mcbanner,Brand,Phrase,11157,14,11246,6
7/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,6363,10,10541,5
7/1/2021,Desktop,Search,mcbanner,Other,Phrase,33295,122,97303,17
7/1/2021,Mobile,Search,mcbanner,Brand,Phrase,28,0,0,0
7/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,8,0,0,0
7/1/2021,Mobile,Search,mcbanner,Other,Phrase,137,1,974,0
7/1/2021,Desktop,Search,mcbanner,Brand,Phrase,0,0,0,0
7/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,0,0,0,0
7/1/2021,Desktop,Search,mcbanner,Other,Phrase,0,0,0,0
7/1/2021,Desktop,Search,mcbanner,Brand,Phrase,74608,75,55700,1
7/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,45956,46,47980,2
7/1/2021,Desktop,Search,mcbanner,Other,Phrase,14961,23,20686,0
7/1/2021,Mobile,Search,mcbanner,Brand,Phrase,79,0,0,0
7/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,192,1,1819,0
7/1/2021,Mobile,Search,mcbanner,Other,Phrase,67,0,0,0
7/1/2021,Desktop,Search,mcbanner,Brand,Phrase,3860,3,782,0
7/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,50837,12,2608,0
7/1/2021,Desktop,Search,mcbanner,Other,Phrase,3739,5,1329,0
7/1/2021,Mobile,Search,mcbanner,Brand,Phrase,4,0,0,0
7/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,14,0,0,0
7/1/2021,Mobile,Search,mcbanner,Other,Phrase,1,0,0,0
7/1/2021,Desktop,Search,mcbanner,Brand,Phrase,54659,64,120442,8
7/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,24933,96,107646,7
7/1/2021,Desktop,Search,mcbanner,Other,Phrase,137505,282,329749,18
7/1/2021,Mobile,Search,mcbanner,Brand,Phrase,186,0,0,0
7/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,138,0,0,0
7/1/2021,Mobile,Search,mcbanner,Other,Phrase,743,1,745,1
7/1/2021,Desktop,Search,text,Brand,Phrase,130758,19660,1985190,1061
7/1/2021,Desktop,Search,text,Competitor,Phrase,0,0,0,0
7/1/2021,Desktop,Search,text,Other,Phrase,19,2,115,0
7/1/2021,Mobile,Networks,text,none,Retargeting,0,0,0,0
7/1/2021,Mobile,Search,text,Brand,Phrase,24076,5373,479221,393
7/1/2021,Mobile,Search,text,Competitor,Phrase,0,0,0,0
7/1/2021,Mobile,Search,text,Other,Phrase,9,2,43,0
7/1/2021,Desktop,Networks,text,none,Phrase,81678190,99027,3748608,70
7/1/2021,Desktop,Networks,text,none,Retargeting,11958347,1596,126554,6
7/1/2021,Desktop,Search,text,Brand,Phrase,442360,45925,2809429,1361
7/1/2021,Desktop,Search,text,Competitor,Phrase,296440,5005,2655088,122
7/1/2021,Desktop,Search,text,Other,Phrase,483688,23311,10532652,751
7/1/2021,Mobile,Networks,text,none,Phrase,1168143,7731,101866,24
7/1/2021,Mobile,Networks,text,none,Retargeting,673358,3297,78456,3
7/1/2021,Mobile,Search,text,Brand,Phrase,895621,11904,949680,534
7/1/2021,Mobile,Search,text,Competitor,Phrase,83812,2188,1382735,86
7/1/2021,Mobile,Search,text,Other,Phrase,334059,15450,5489127,584
